ccy,date,rate
INR,2005-12-07,0.02164033758926639
JPY,2005-12-07,0.008276090374906894
KRW,2005-12-07,0.0009674922600619195
MYR,2005-12-07,0.2645502645502646
NOK,2005-12-07,0.14793774779572755
NZD,2005-12-07,0.7065140596297866
PLN,2005-12-07,0.3052782611350245
RUB,2005-12-07,0.03449988960035328
SAR,2005-12-07,0.26658846738290104
SEK,2005-12-07,0.1246727340730582
SGD,2005-12-07,0.5930494603249912
THB,2005-12-07,0.024221872350732712
TRY,2005-12-07,0.7369196757553427
TWD,2005-12-07,0.02986411826190832
USD,2005-12-07,1.0
ZAR,2005-12-07,0.1579454456430749
AUD,2005-12-08,0.7494004796163071
CAD,2005-12-08,0.8634832915983076
CHF,2005-12-08,0.7686395080707149
CNY,2005-12-08,0.12382367508667655
CZK,2005-12-08,0.04065040650406504
DKK,2005-12-08,0.15876291933256068
EUR,2005-12-08,1.1827091354567727
GBP,2005-12-08,1.7500875043752186
HKD,2005-12-08,0.12896236878078976
HUF,2005-12-08,0.004624046521607245
ILS,2005-12-08,0.21602937999567945
INR,2005-12-08,0.02163565556036348
JPY,2005-12-08,0.008298755186721992
KRW,2005-12-08,0.0009667907381447287
MYR,2005-12-08,0.2651113467656416
NOK,2005-12-08,0.14914243102162564
NZD,2005-12-08,0.7016066792955868
PLN,2005-12-08,0.3060537430372773
RUB,2005-12-08,0.03456093784560938
SAR,2005-12-08,0.2666382252559727
SEK,2005-12-08,0.12524265764919532
SGD,2005-12-08,0.5937537109606935
THB,2005-12-08,0.02423361201987156
TRY,2005-12-08,0.7380073800738007
TWD,2005-12-08,0.029848518767256176
USD,2005-12-08,1.0
ZAR,2005-12-08,0.1575547502757208
AUD,2005-12-09,0.7518231711901361
CAD,2005-12-09,0.8634832915983076
CHF,2005-12-09,0.768344218209758
CNY,2005-12-09,0.1238543472875898
CZK,2005-12-09,0.040659662362163736
DKK,2005-12-09,0.15886885376122012
EUR,2005-12-09,1.1834942932396841
GBP,2005-12-09,1.7559262510974538
HKD,2005-12-09,0.12895571660691718
HUF,2005-12-09,0.004622296014610153
ILS,2005-12-09,0.21588946459412786
INR,2005-12-09,0.02168256721595837
JPY,2005-12-09,0.00829393713195654
KRW,2005-12-09,0.0009672583063307056
MYR,2005-12-09,0.26525198938992045
NOK,2005-12-09,0.1492448212047042
NZD,2005-12-09,0.704324552753909
PLN,2005-12-09,0.3061474406073965
RUB,2005-12-09,0.034644032565390614
SAR,2005-12-09,0.2666382252559727
SEK,2005-12-09,0.1255193362537499
SGD,2005-12-09,0.5944243000653867
THB,2005-12-09,0.02422774076317384
TRY,2005-12-09,0.7377351530800443
TWD,2005-12-09,0.02984406476162053
USD,2005-12-09,1.0
ZAR,2005-12-09,0.15655577299412915
AUD,2005-12-12,0.7548878991469766
CAD,2005-12-12,0.8676036786395974
